text,intent
Please tell me can i star or pin important conversations?,chat_management
Can you help me with how should i study computer science effectively please,study_help
Please tell me how to handle eventual consistency in microservices with saga pattern step by step,system_design
Kindly explain thank you very much with best practices,thanks
"Can you tell me, explain browser cookies vs localstorage vs sessionstorage please",web_development
Kindly explain how to handle missing data and outliers in tabular datasets with an example,data_science
Show me how to explain dijkstra shortest path algorithm in graph theory in clean code,algorithms
"Atlas, qpowieurytlaksjdhfg please",unknown
Give me an example of do i need an umbrella today with code snippet,weather
Teach me about good afternoon in clean code,greeting
I'm curious about how to find the median of two sorted arrays in logarithmic time for beginners,algorithms
Kindly explain tell me a funny computer science joke in detail,jokes
Please tell me who designed the atlas chatbot!,creator
Quick question: hey buddy?,greeting
"I was wondering, how does garbage collection work in v8 engine and jvm for beginners",programming
"Atlas, explain database sharding strategies and consistent hashing!",system_design
Do you know how to switch between dark mode and light mode please,app_features
I'm curious about tell me a joke about software engineers with an example,jokes
Please tell me how does the live code runner sandbox work please,app_features
"I was wondering, that's not what i asked for with best practices",negative_feedback
"Atlas, tell me a funny joke about javascript bugs step by step",jokes
Help me understand are you an ai chatbot with code snippet,bot_identity
What is debouncing and throttling in javascript,javascript
"Hey Atlas, db.conversations.createindex({ userid: 1, ispinned: -1, updatedat: -1 }) with code snippet",database_sql
"Hi Atlas, I am Kashif",user_name_declare
Help me understand why is my react useeffect running in an infinite loop?,code_debugging
I'm David,user_name_declare
what is kubernetes pod and deployment with best practices,git_devops
How do I write an efficient algorithm to find the longest substring without repeating characters in detail,algorithms
My nickname is Daniel,user_name_declare
Help me understand everything running smooth with you right now,how_are_you
"Atlas, what is client-side rendering csr vs server-side rendering ssr",web_development
I'm curious about explain ci/cd pipeline with github actions with an example,git_devops
"Can you tell me, what can't you do in detail",capabilities
Give me an example of that's not what i asked for please,negative_feedback
"I was wondering, super helpful explanation right now",positive_feedback
"Hey Atlas, what is exploratory data analysis eda in data science right now",data_science
"Can you tell me, poiu qwer lkjh mnbv?",unknown
Do you know what is today's date step by step,time
"Can you tell me, how to discard all uncommitted changes in git in clean code",git_devops
Kindly explain write jawascript program to manipulate the dom please,javascript
I am John,user_name_declare
Could you please explain farewell with best practices,goodbye
Show me how to your code snippet threw an error?,negative_feedback
Can you help me with thank you very much please,thanks
I'm curious about help please with code snippet,help
"I was wondering, how does calibratedclassifiercv compute probability estimates for linearsvc with an example",machine_learning
"Can you tell me, thanks for explaining please",thanks
"Explain Precision, Recall, F1 Score, and ROC-AUC curve",machine_learning
"Do you know explain precision, recall, f1 score, and roc-auc curve with best practices",machine_learning
"Quick question: db.conversations.createindex({ userid: 1, ispinned: -1, updatedat: -1 }) with an example",database_sql
Everyone calls me William,user_name_declare
Can you help me with create a simple counter in javascript with addeventlistener with code snippet,javascript
Can you help me with how to change my nickname in settings with best practices,app_features
how to switch between dark mode and light mode?,app_features
Please tell me good morning in clean code,greeting
"Hey Atlas, explain the this keyword binding in javascript with code snippet",javascript
"Atlas, tell me the current time and day in clean code",time
Mera naam Nouman hai,user_name_declare
"I was wondering, summarize this in one sentence?",summarize_simplify
"Atlas, fantastic response with an example",positive_feedback
how to wipe my conversation history step by step,chat_management
"Do you know explain design patterns: singleton, factory, observer with best practices",programming
What is the best way to bye with best practices,goodbye
Can you help me with can you physically wash dishes with an example,unsupported_tasks
Could you please explain what is debouncing and throttling in javascript with code snippet,javascript
Do you know explain word embeddings word2vec vs bert vs subword tokenization!,machine_learning
What is the best way to explain css flexbox vs css grid layouts with an example,web_development
Help me understand mnbvcxzlkjhgfdsapoiuytrewq?,unknown
I'm curious about what is feature engineering and feature scaling standardscaler step by step,data_science
"I was wondering, fix this indexerror: list index out of range with code snippet",code_debugging
Can you help me with is it sunny or cloudy outside step by step,weather
How do I why am i getting undefined is not a function in javascript in detail,code_debugging
Give me an example of this does not answer my question with an example,negative_feedback
"Atlas, explain microservices architecture vs monolithic architecture!",system_design
Help me understand what is tf-idf and how does text vectorization work in detail,machine_learning
what is foreign key constraint in mysql right now,database_sql
Give me an example of how are you!,how_are_you
Show me how to can you access my bank account with an example,unsupported_tasks
"Atlas, good night for beginners",goodbye
Help me understand how do i undo the last commit in git in detail,git_devops
Please tell me how does tailwind css utility-first framework work?,web_development
Show me how to great answer thank you step by step,positive_feedback
Help me understand explain state management in react with zustand or redux with code snippet,web_development
Show me how to who is your author for beginners,creator
Teach me about how to get in touch with the creator?,contact
Could you please explain how to use list comprehension in python with if condition with best practices,python
"Atlas, who created you in detail",creator
Help me understand explain microservices architecture vs monolithic architecture in clean code,system_design
Teach me about poiu qwer lkjh mnbv with code snippet,unknown
Do you know who engineered your backend with code snippet,creator
"Atlas, great answer thank you in clean code",positive_feedback
can you turn on the physical lights in my house in detail,unsupported_tasks
"Can you tell me, give me some motivation please",motivation
"I was wondering, i'm stuck, need help please",help
I'm curious about explain binary search algorithm and its o(log n) time complexity please,algorithms
The name is Farhan,user_name_declare
Show me how to what is the contact email right now,contact
"Can you tell me, sdkfjsldkfjsldfkj for beginners",unknown
"I was wondering, how should i study computer science effectively in clean code",study_help
Kindly explain i feel unmotivated to code in clean code,motivation
What is docker-compose and how do i use it,git_devops
how to deep clone an object in modern javascript using structuredclone with an example,javascript
Kindly explain i love this chatbot?,positive_feedback
Show me how to how to design a distributed unique id generator like twitter snowflake for beginners,system_design
Teach me about what is the cap theorem in distributed systems in clean code,system_design
Could you please explain say something funny step by step,jokes
"Hey Atlas, my code crashes with recursionerror: maximum depth exceeded step by step",code_debugging
Kindly explain this does not answer my question with an example,negative_feedback
